,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
5,AAPL230616P00085000,2021-06-01 1:19PM EDT,85.0,4.6,4.4,4.7,-0.07,-1.50%,3,137,30.59%
6,AAPL230616P00090000,2021-06-01 10:49AM EDT,90.0,5.95,5.55,5.85,0.05,+0.85%,1000,2577,30.04%
7,AAPL230616P00095000,2021-06-01 11:20AM EDT,95.0,7.2,6.85,7.2,-0.03,-0.41%,3,2495,29.56%
8,AAPL230616P00100000,2021-06-01 2:56PM EDT,100.0,8.5,8.45,8.8,-0.3,-3.41%,417,6713,29.21%
9,AAPL230616P00105000,2021-06-01 2:51PM EDT,105.0,10.44,10.3,10.6,-0.21,-1.97%,8,2528,28.87%
10,AAPL230616P00110000,2021-06-01 11:13AM EDT,110.0,12.75,12.4,12.75,-0.05,-0.39%,1,10993,28.78%
11,AAPL230616P00115000,2021-06-01 1:34PM EDT,115.0,14.91,14.8,15.15,-0.04,-0.27%,1,1666,28.74%
12,AAPL230616P00120000,2021-06-01 3:56PM EDT,120.0,17.5,17.4,17.6,-0.01,-0.06%,1344,4704,28.47%
13,AAPL230616P00125000,2021-06-01 2:15PM EDT,125.0,20.06,20.15,20.5,-0.39,-1.91%,1012,1036,28.57%
14,AAPL230616P00130000,2021-06-01 3:50PM EDT,130.0,23.1,23.05,23.5,0.0,-,22,552,28.53%
15,AAPL230616P00135000,2021-05-28 1:48PM EDT,135.0,26.35,26.15,26.6,0.0,-,1,395,28.39%
16,AAPL230616P00140000,2021-05-28 9:48AM EDT,140.0,29.5,29.45,29.95,0.0,-,10,494,28.36%
17,AAPL230616P00145000,2021-05-27 9:39AM EDT,145.0,32.04,32.9,33.45,0.0,-,10,293,28.32%
18,AAPL230616P00150000,2021-05-26 10:15AM EDT,150.0,36.8,36.55,37.05,0.8,+2.22%,9,2681,28.22%
19,AAPL230616P00155000,2021-05-11 2:59PM EDT,155.0,40.83,40.3,40.85,0.0,-,4,24,28.22%
20,AAPL230616P00160000,2021-05-19 10:16AM EDT,160.0,46.0,44.2,44.75,0.0,-,2,15,28.18%
21,AAPL230616P00165000,2021-05-27 3:50PM EDT,165.0,47.8,48.2,48.75,0.0,-,1,8,28.13%
22,AAPL230616P00170000,2021-04-27 12:52PM EDT,170.0,47.7,51.95,52.35,0.0,-,1,64,27.23%
23,AAPL230616P00175000,2021-04-29 10:00AM EDT,175.0,52.1,54.0,59.0,0.0,-,25,119,31.31%
24,AAPL230616P00180000,2021-05-17 3:39PM EDT,180.0,60.93,60.85,61.4,0.0,-,154,9559,28.10%
25,AAPL230616P00185000,2021-05-03 9:50AM EDT,185.0,60.26,65.25,65.8,0.0,-,2,182,28.14%
26,AAPL230616P00190000,2021-05-18 2:26PM EDT,190.0,68.95,69.7,70.25,0.0,-,1,120,28.14%
27,AAPL230616P00195000,2021-05-24 12:18PM EDT,195.0,72.34,74.25,74.8,0.0,-,1,33779,28.24%
28,AAPL230616P00200000,2021-05-28 3:22PM EDT,200.0,78.67,78.8,79.35,0.0,-,3,21,28.23%
29,AAPL230616P00210000,2021-05-28 3:22PM EDT,210.0,87.9,88.1,88.65,0.0,-,3,15,28.36%
30,AAPL230616P00220000,2021-05-12 3:48PM EDT,220.0,99.5,97.5,98.1,0.0,-,4,0,28.51%
31,AAPL230616P00230000,2021-05-12 3:45PM EDT,230.0,109.09,107.1,107.65,0.0,-,2,0,28.63%
32,AAPL230616P00240000,2021-05-10 3:35PM EDT,240.0,115.02,116.75,117.3,0.0,-,5,94,28.80%
33,AAPL230616P00250000,2021-06-01 9:41AM EDT,250.0,126.05,126.45,127.0,1.37,+1.10%,1,31,28.88%
34,AAPL230616P00260000,2021-05-28 3:52PM EDT,260.0,135.8,136.2,136.85,0.0,-,5,35,29.41%
